Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
India,IND,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,1797210
India,IND,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,1797210
India,IND,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,1797210
India,IND,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,1796980
India,IND,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,1796420
India,IND,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,1796700
India,IND,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,1795730
India,IND,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,1800680
India,IND,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,1797570
India,IND,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,1796200
India,IND,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,1799060
India,IND,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,1801260
India,IND,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,1803750
India,IND,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,1802490
India,IND,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,1805600
India,IND,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,1804870
India,IND,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,1809750
India,IND,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,1810210
India,IND,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,1808740
India,IND,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,1809810
India,IND,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,1805890
India,IND,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,1809450
India,IND,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,1812910
India,IND,1993,Agricultural land (sq. km),AG.LND.AGRI.K2,1813820
India,IND,1992,Agricultural land (sq. km),AG.LND.AGRI.K2,1813050
India,IND,1991,Agricultural land (sq. km),AG.LND.AGRI.K2,1815860
