City,State,Part_of_India,Metropolitan_Area,Population_as_per_2011_census,Population_Estimate_2019
Ahmedabad,Gujarat,West India,1,5570585,8644400
Aizawl,Mizoram,North East,0,291822,336845
Amaravati,Andhra Pradesh,South India,0,103000,128750
Amritsar,Punjab,North India,0,1132383,2804000
Bengaluru,Karnataka,South India,1,8436675,12951200
Bhopal,Madhya Pradesh,Central India,0,1798218,3485600
Brajrajnagar,Odisha,East India,0,80403,100504
Chandigarh,Union Territory,North India,0,1028667,1260765
Chennai,Tamil Nadu,South India,1,4681087,10639200
Coimbatore,Tamil Nadu,South India,0,1050721,1961600
Delhi,Union Territory,North India,1,11034555,29596000
Ernakulam,Kerala,South India,0,3282388,3393000
Gurugram,Haryana,North India,0,876824,999258
Guwahati,Assam,North East,1,957352,1116267
Hyderabad,Telangana,South India,1,6809970,12246400
Jaipur,Rajasthan,North India,1,3046163,3791520
Jorapokhar,Jharkhand,East India,0,85218,106522
Kochi,Kerala,South India,0,601574,920362
Kolkata,West Bengal,East India,1,4486679,5302880
Lucknow,Uttar Pradesh,North India,0,2817105,3564480
Mumbai,Maharashtra,West India,1,12478447,24500000
Patna,Bihar,East India,0,1684222,3120400
Shillong,Meghalaya,North East,0,143229,225988
Talcher,Odisha,East India,0,40841,51051
Thiruvananthapuram,Kerala,South India,0,957730,2644000
Visakhapatnam,Andhra Pradesh,South India,1,1728128,4307200
