Date,Province/State,Country/Region,Lat,Long,Confirmed,Deaths,Recovered
1/22/20,Anhui,Mainland China,31.8257,117.2264,1,0,0
1/22/20,Beijing,Mainland China,40.1824,116.4142,14,0,0
1/22/20,Chongqing,Mainland China,30.0572,107.874,6,0,0
1/22/20,Fujian,Mainland China,26.0789,117.9874,1,0,0
1/22/20,Gansu,Mainland China,36.0611,103.8343,0,0,0
1/22/20,Guangdong,Mainland China,23.3417,113.4244,26,0,0
1/22/20,Guangxi,Mainland China,23.8298,108.7881,2,0,0
1/22/20,Guizhou,Mainland China,26.8154,106.8748,1,0,0
1/22/20,Hainan,Mainland China,19.1959,109.7453,4,0,0
1/22/20,Hebei,Mainland China,38.0428,114.5149,1,0,0
1/22/20,Heilongjiang,Mainland China,47.862,127.7615,0,0,0
1/22/20,Henan,Mainland China,33.88202,113.614,5,0,0
1/22/20,Hubei,Mainland China,30.9756,112.2707,444,17,28
1/22/20,Hunan,Mainland China,27.6104,111.7088,4,0,0
1/22/20,Inner Mongolia,Mainland China,44.0935,113.9448,0,0,0
1/22/20,Jiangsu,Mainland China,32.9711,119.455,1,0,0
1/22/20,Jiangxi,Mainland China,27.614,115.7221,2,0,0
1/22/20,Jilin,Mainland China,43.6661,126.1923,0,0,0
1/22/20,Liaoning,Mainland China,41.2956,122.6085,2,0,0
1/22/20,Ningxia,Mainland China,37.2692,106.1655,1,0,0
1/22/20,Qinghai,Mainland China,35.7452,95.9956,0,0,0
1/22/20,Shaanxi,Mainland China,35.1917,108.8701,0,0,0
1/22/20,Shandong,Mainland China,36.3427,118.1498,2,0,0
1/22/20,Shanghai,Mainland China,31.202,121.4491,9,0,0
1/22/20,Shanxi,Mainland China,37.5777,112.2922,1,0,0
1/22/20,Sichuan,Mainland China,30.6171,102.7103,5,0,0
1/22/20,Tianjin,Mainland China,39.3054,117.323,4,0,0
1/22/20,Tibet,Mainland China,31.6927,88.0924,0,0,0
1/22/20,Xinjiang,Mainland China,41.1129,85.2401,0,0,0
1/22/20,Yunnan,Mainland China,24.974,101.487,1,0,0
1/22/20,Zhejiang,Mainland China,29.1832,120.0934,10,0,0
1/22/20,,Thailand,15,101,2,0,0
1/22/20,,Japan,36,138,2,0,0
1/22/20,"King County, WA",US,47.6062,-122.3321,1,0,0
1/22/20,"Cook County, IL",US,41.7377,-87.6976,0,0,0
1/22/20,,Singapore,1.2833,103.8333,0,0,0
1/22/20,,France,47,2,0,0,0
1/22/20,,Nepal,28.1667,84.25,0,0,0
1/22/20,,Malaysia,2.5,112.5,0,0,0
1/22/20,British Columbia,Canada,49.2827,-123.1207,0,0,0
1/22/20,"Los Angeles, CA",US,34.0522,-118.2437,0,0,0
1/22/20,New South Wales,Australia,-33.8688,151.2093,0,0,0
1/22/20,Victoria,Australia,-37.8136,144.9631,0,0,0
1/22/20,Queensland,Australia,-28.0167,153.4,0,0,0
1/22/20,,Cambodia,11.55,104.9167,0,0,0
1/22/20,,Sri Lanka,7,81,0,0,0
1/22/20,,Germany,51,9,0,0,0
1/22/20,,Finland,64,26,0,0,0
1/22/20,,United Arab Emirates,24,54,0,0,0
1/22/20,,Philippines,13,122,0,0,0
1/22/20,,India,21,78,0,0,0
1/22/20,,Italy,43,12,0,0,0
1/22/20,,UK,55,-3,0,0,0
1/22/20,,Sweden,63,16,0,0,0
1/22/20,,Spain,40,-4,0,0,0
1/22/20,South Australia,Australia,-34.9285,138.6007,0,0,0
1/22/20,"San Benito, CA",US,36.5761,-120.9876,0,0,0
1/22/20,,Belgium,50.8333,4,0,0,0
1/22/20,Diamond Princess cruise ship,Others,35.4437,139.638,0,0,0
1/22/20,"San Diego County, CA",US,32.7157,-117.1611,0,0,0
1/22/20,,Egypt,26,30,0,0,0
1/22/20,From Diamond Princess,Australia,35.4437,139.638,0,0,0
1/22/20,,Lebanon,33.8547,35.8623,0,0,0
1/22/20,"Humboldt County, CA",US,40.745,-123.8695,0,0,0
1/22/20,"Sacramento County, CA",US,38.4747,-121.3542,0,0,0
1/22/20,,Iraq,33,44,0,0,0
1/22/20,,Oman,21,57,0,0,0
1/22/20,,Afghanistan,33,65,0,0,0
1/22/20,,Bahrain,26.0275,50.55,0,0,0
1/22/20,,Kuwait,29.5,47.75,0,0,0
1/22/20,,Algeria,28.0339,1.6596,0,0,0
1/22/20,,Croatia,45.1,15.2,0,0,0
1/22/20,,Switzerland,46.8182,8.2275,0,0,0
1/22/20,,Austria,47.5162,14.5501,0,0,0
1/22/20,,Israel,31,35,0,0,0
1/22/20,,Pakistan,30.3753,69.3451,0,0,0
1/22/20,,Brazil,-14.235,-51.9253,0,0,0
1/22/20,,Georgia,42.3154,43.3569,0,0,0
1/22/20,,Greece,39.0742,21.8243,0,0,0
1/22/20,,North Macedonia,41.6086,21.7453,0,0,0
1/22/20,,Norway,60.472,8.4689,0,0,0
1/22/20,,Romania,45.9432,24.9668,0,0,0
1/22/20,,Denmark,56.2639,9.5018,0,0,0
1/22/20,,Estonia,58.5953,25.0136,0,0,0
1/22/20,,Netherlands,52.1326,5.2913,0,0,0
1/22/20,,San Marino,43.9424,12.4578,0,0,0
1/22/20,,Belarus,53.7098,27.9534,0,0,0
1/22/20,,Iceland,64.9631,-19.0208,0,0,0
1/22/20,,Lithuania,55.1694,23.8813,0,0,0
1/22/20,,Mexico,23.6345,-102.5528,0,0,0
1/22/20,,New Zealand,-40.9006,174.886,0,0,0
1/22/20,,Nigeria,9.082,8.6753,0,0,0
1/22/20,Western Australia,Australia,-31.9505,115.8605,0,0,0
1/22/20,,Ireland,53.1424,-7.6921,0,0,0
1/22/20,,Luxembourg,49.8153,6.1296,0,0,0
1/22/20,,Monaco,43.7333,7.4167,0,0,0
1/22/20,,Qatar,25.3548,51.1839,0,0,0
1/22/20,"Snohomish County, WA",US,48.033,-121.8339,0,0,0
1/22/20,,Ecuador,-1.8312,-78.1834,0,0,0
1/22/20,,Azerbaijan,40.1431,47.5769,0,0,0
1/22/20,,Czech Republic,49.8175,15.473,0,0,0
1/22/20,,Armenia,40.0691,45.0382,0,0,0
1/22/20,,Dominican Republic,18.7357,-70.1627,0,0,0
1/22/20,,Indonesia,-0.7893,113.9213,0,0,0
1/22/20,,Portugal,39.3999,-8.2245,0,0,0
1/22/20,,Andorra,42.5063,1.5218,0,0,0
1/22/20,Tasmania,Australia,-41.4545,145.9707,0,0,0
1/22/20,,Latvia,56.8796,24.6032,0,0,0
1/22/20,,Morocco,31.7917,-7.0926,0,0,0
1/22/20,,Saudi Arabia,24,45,0,0,0
1/22/20,,Senegal,14.4974,-14.4524,0,0,0
1/22/20,"Grafton County, NH",US,43.9088,-71.826,0,0,0
1/22/20,"Hillsborough, FL",US,27.9904,-82.3018,0,0,0
1/22/20,"Placer County, CA",US,39.0916,-120.8039,0,0,0
1/22/20,"San Mateo, CA",US,37.563,-122.3255,0,0,0
1/22/20,"Sonoma County, CA",US,38.578,-122.9888,0,0,0
1/22/20,"Umatilla, OR",US,45.775,-118.7606,0,0,0
1/22/20,"Fulton County, GA",US,33.8034,-84.3963,0,0,0
1/22/20,"Washington County, OR",US,45.547,-123.1386,0,0,0
1/22/20,,Argentina,-38.4161,-63.6167,0,0,0
1/22/20,,Chile,-35.6751,-71.543,0,0,0
1/22/20,,Jordan,31.24,36.51,0,0,0
1/22/20,"Norfolk County, MA",US,42.1767,-71.1449,0,0,0
1/22/20,"Maricopa County, AZ",US,33.2918,-112.4291,0,0,0
1/22/20,"Wake County, NC",US,35.8032,-78.5661,0,0,0
1/22/20,"Wetchester County, NY",US,41.122,-73.7949,0,0,0
1/22/20,,Ukraine,48.3794,31.1656,0,0,0
1/22/20,,Saint Barthelemy,17.9,-62.8333,0,0,0
1/22/20,"Orange County, CA",US,33.7879,-117.8531,0,0,0
1/22/20,,Hungary,47.1625,19.5033,0,0,0
1/22/20,Northern Territory,Australia,-12.4634,130.8456,0,0,0
1/22/20,,Faroe Islands,61.8926,-6.9118,0,0,0
1/22/20,,Gibraltar,36.1408,-5.3536,0,0,0
1/22/20,,Liechtenstein,47.14,9.55,0,0,0
1/22/20,,Poland,51.9194,19.1451,0,0,0
1/22/20,,Tunisia,34,9,0,0,0
1/22/20,"Contra Costa County, CA",US,37.8534,-121.9018,0,0,0
1/22/20,,Bosnia and Herzegovina,43.9159,17.6791,0,0,0
1/22/20,,Slovenia,46.1512,14.9955,0,0,0
1/22/20,"Bergen County, NJ",US,40.9263,-74.077,0,0,0
1/22/20,"Harris County, TX",US,29.7752,-95.3103,0,0,0
1/22/20,"San Francisco County, CA",US,37.7749,-122.4194,0,0,0
1/22/20,,South Africa,-30.5595,22.9375,0,0,0
1/22/20,"Clark County, NV",US,36.0796,-115.094,0,0,0
1/22/20,"Fort Bend County, TX",US,29.5693,-95.8143,0,0,0
1/22/20,"Grant County, WA",US,47.1981,-119.3732,0,0,0
1/22/20,"Santa Rosa County, FL",US,30.769,-86.9824,0,0,0
1/22/20,"Williamson County, TN",US,35.9179,-86.8622,0,0,0
1/22/20,"New York County, NY",US,40.7128,-74.006,0,0,0
1/22/20,"Montgomery County, MD",US,39.1547,-77.2405,0,0,0
1/22/20,"Suffolk County, MA",US,42.3601,-71.0589,0,0,0
1/22/20,"Denver County, CO",US,39.7392,-104.9903,0,0,0
1/22/20,"Summit County, CO",US,39.5912,-106.064,0,0,0
