year,Albania,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Barbados,Belarus,Belgium,Belize,Bosnia and Herzegovina,Brazil,Bulgaria,Cabo Verde,Canada,Chile,Colombia,Costa Rica,Croatia,Cuba,Cyprus,Czech Republic,Denmark,Dominica,Ecuador,El Salvador,Estonia,Fiji,Finland,France,Georgia,Germany,Greece,Grenada,Guatemala,Guyana,Hungary,Iceland,Ireland,Israel,Italy,Jamaica,Japan,Kazakhstan,Kiribati,Kuwait,Kyrgyzstan,Latvia,Lithuania,Luxembourg,Macau,Maldives,Malta,Mauritius,Mexico,Mongolia,Montenegro,Netherlands,New Zealand,Nicaragua,Norway,Oman,Panama,Paraguay,Philippines,Poland,Portugal,Puerto Rico,Qatar,Republic of Korea,Romania,Russian Federation,Saint Kitts and Nevis,Saint Lucia,Saint Vincent and Grenadines,San Marino,Serbia,Seychelles,Singapore,Slovakia,Slovenia,South Africa,Spain,Sri Lanka,Suriname,Sweden,Switzerland,Thailand,Trinidad and Tobago,Turkey,Turkmenistan,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,Suicides
1985,0,1988,1861,2091,1,11,7,2281,4228,1456,3258,683,1001,128,0,393,12501,405,1,32,276,234,4759,8,23257,17,55,2,104,1544,1638,338,56,63,983,269,3689,2,8,324,2514,5668,80,2982,29,5105,29446,287,116063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232126
1986,0,2284,2044,2139,8,2202,3,4271,1408,3670,654,958,131,377,12529,393,203,37,282,278,4691,1,25484,16,51,1,28,1714,1604,414,579,82,56,941,310,3458,5,0,1,326,2755,5345,42,2798,104,4839,30892,262,120670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241340
1987,73,0,2286,2164,2069,3,9,6,2238,4,4672,1492,3591,693,951,119,390,1363,12161,410,241,36,245,271,4516,13,23663,16,74,1,140,1701,1616,463,649,85,62,960,272,3301,11,0,3,301,2804,52,1541,3035,119,272,10050,4594,30783,258,126842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253684
1988,63,0,2354,2172,1851,14,12,1996,4466,1452,3510,697,912,138,466,1402,11599,403,4,174,56,35,266,303,4381,5,22676,69,9,167,1703,1523,484,708,87,819,314,2949,10,366,2960,49,1590,164,270,9751,4971,30388,268,121026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242052
1989,68,0,2247,2066,1898,16,1920,1,4463,1460,3491,725,831,167,431,1413,11715,383,4,152,94,22,278,353,4342,0,21013,73,23,144,1865,1520,465,660,70,67,747,327,3023,2529,37921,8,394,2987,53,1579,173,253,10887,4361,30218,344,160244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320488
1990,1,2140,93,2202,1825,114,16,2085,1895,3,4803,1323,3378,743,865,157,1997,448,571,1512,11403,196,13924,349,2,158,89,40,334,304,4402,3,20002,3172,547,68,8,147,1926,1450,455,659,99,4970,870,371,3159,2079,39028,0,3,5,354,2939,26,1471,3753,170,298,10645,4643,30895,315,1459,193361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,386722
1991,0,1951,80,2288,1769,134,17,2169,1805,2,5156,1384,3593,787,1010,125,1904,494,474,1493,11502,174,14010,381,0,156,105,3993,37,345,359,4453,1,19780,3082,10,543,77,10,137,2103,1611,474,675,75,5316,942,355,3069,2161,39281,0,6,296,2916,57,1483,3559,148,273,10700,4547,30790,1393,198020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,396040
1992,47,0,2184,83,2251,1759,144,14,2424,1878,5207,1519,3708,658,1086,149,2299,1991,505,419,1451,11644,204,13458,351,0,173,78,4000,28,362,381,4543,20756,3356,4,491,59,18,146,2237,1587,493,616,347,5713,866,314,3533,2650,45923,0,11,277,796,2786,48,1355,3550,163,271,11666,4628,30471,1344,211473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,422946
1993,73,1,2230,106,2038,1704,119,7,16,2885,2142,1,5508,1470,3803,740,1085,164,2374,1917,574,424,1397,12251,12690,412,3,165,72,3694,26,326,371,4697,20353,4019,12,18,563,64,16,138,2342,1555,443,590,846,5624,780,345,4124,2774,55846,8,270,738,3037,1373,174,240,12469,4462,31084,418,1355,221565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,443130
1994,50,0,2241,112,2283,1776,47,3,14,3153,2131,8,5896,1464,3748,801,1198,162,2278,1872,999,512,1387,12041,123,12718,355,4,142,86,3625,25,394,416,4536,20744,4024,10,30,581,74,27,15,129,2588,1584,512,531,108,5519,762,355,4212,2887,61420,6,316,691,3171,1324,2307,148,234,13826,4380,31123,406,1419,232063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,464126
